Year,Location of death (state),count
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2002,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2003,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2004,IllIndianaois,1
2005,IllIndianaois,1
2005,IllIndianaois,1
